s_no,Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50
645,2007-10-19,TCS,1147.85,1150.0,1082.4,1108.85,1123.85,2023533,2251338108.85,1112.58,,-1.3346976909729948,1071.395,1054.5
646,2007-10-22,TCS,1117.0,1117.0,1065.1,1071.95,1108.85,959202,1033880032.7,1077.85,,-3.3277720160526556,1074.6299999999999,1053.249
647,2007-10-23,TCS,1068.0,1100.0,1059.0,1063.6,1071.95,1465591,1572568824.95,1072.99,,-0.7789542422687752,1077.725,1051.9160000000002
648,2007-10-24,TCS,1100.0,1100.0,1043.3,1048.0,1063.6,1025247,1081831617.15,1055.19,,-1.466716810831131,1078.0875,1051.116
649,2007-10-25,TCS,1059.0,1060.0,1038.15,1049.6,1048.0,1231318,1289889620.45,1047.57,,0.15267175572518216,1077.4424999999999,1050.985
650,2007-10-26,TCS,1050.0,1084.0,1042.2,1071.3,1049.6,740015,790986444.55,1068.88,,2.0674542682926877,1077.9999999999998,1051.3
651,2007-10-29,TCS,1089.0,1090.0,1061.4,1068.0,1071.3,884013,947106429.55,1071.37,,-0.30803696443572803,1079.3174999999999,1052.355
652,2007-10-30,TCS,1072.0,1075.0,1040.3,1048.5,1068.0,786451,829232189.95,1054.4,,-1.8258426966292134,1077.7824999999998,1052.807
653,2007-10-31,TCS,1047.0,1063.7,1017.0,1038.0,1048.5,11804132,12058743127.35,1021.57,,-1.0014306151645207,1075.7175,1053.409
654,2007-11-01,TCS,1055.0,1055.0,1019.5,1023.05,1038.0,1379601,1426186743.1,1033.77,,-1.4402697495183088,1073.23,1053.502
655,2007-11-02,TCS,1010.0,1030.0,1003.0,1021.2,1023.05,873670,891046712.4,1019.89,,-0.18083182640143777,1070.3725,1053.396
656,2007-11-05,TCS,1021.0,1030.8,1005.25,1011.3,1021.2,469117,476407130.05,1015.54,,-0.9694477085781522,1067.02,1053.047
657,2007-11-06,TCS,1015.0,1019.8,1000.0,1004.3,1011.3,549747,554157391.65,1008.02,,-0.6921783842578859,1062.4875,1052.501
658,2007-11-07,TCS,1005.1,1009.15,986.1,997.05,1004.3,876004,873060924.1,996.64,,-0.7218958478542269,1056.065,1051.81
659,2007-11-08,TCS,990.1,999.8,980.0,989.65,997.05,671741,663518240.2,987.76,,-0.7421894589037639,1051.9475,1050.683
660,2007-11-09,TCS,1015.0,1015.0,983.1,985.25,989.65,84775,83615093.2,986.32,,-0.4446016268377686,1048.035,1049.1009999999999
661,2007-11-12,TCS,985.25,985.25,960.0,963.85,985.25,1320247,1280982074.25,970.26,,-2.1720375539203225,1042.52,1047.1529999999998
662,2007-11-13,TCS,963.85,972.7,926.65,947.35,963.85,1174497,1122693233.85,955.89,,-1.71188462935104,1036.4675,1044.778
663,2007-11-14,TCS,960.0,1045.1,960.0,986.7,947.35,897092,876700000.2,977.27,,4.1536918773420615,1031.0674999999999,1043.065
664,2007-11-15,TCS,991.0,997.9,970.0,980.2,986.7,573849,563236297.95,981.51,,-0.6587615283267457,1023.885,1041.1090000000002
665,2007-11-16,TCS,980.0,998.0,967.15,982.9,980.2,916704,892459261.2,973.55,,0.2754539889818335,1017.5875,1039.242
609,2007-11-19,TCS,960.1,1007.4,960.1,993.5,982.9,752563,745835971.85,991.06,,1.0784413470342886,1013.6650000000002,1038.167
610,2007-11-20,TCS,992.0,992.0,957.2,961.3,993.5,1049754,1016284026.45,968.12,,-3.2410669350780115,1008.55,1036.9260000000002
611,2007-11-21,TCS,962.0,980.8,935.6,944.8,961.3,853448,818156373.65,958.65,,-1.7164256735670447,1003.39,1035.51
612,2007-11-22,TCS,969.7,972.0,935.0,950.2,944.8,647944,615677132.65,950.2,,0.5715495342929817,998.4200000000001,1033.8980000000001
